,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness (%),Wind Speed (m/s),Country,Date
0,Dikson,73.51,80.55,-21.33,86,100,22.57,RU,1608243176
1,Tarauacá,-8.16,-70.77,87.57,55,47,1.77,BR,1608243176
2,Azare,11.68,10.19,69.66,23,49,7.43,NG,1608243177
3,Madera,37.17,-119.83,48.0,87,53,5.99,US,1608243177
4,Punta Arenas,-53.15,-70.92,55.4,43,0,32.21,CL,1608242972
5,Yerbogachën,61.28,108.01,-5.53,90,100,6.76,RU,1608243177
6,Avarua,-21.21,-159.78,84.2,79,100,13.87,CK,1608243177
7,Ambovombe,-25.17,46.08,75.9,84,20,4.32,MG,1608243177
8,Kamyshlov,56.84,62.71,20.16,95,100,9.91,RU,1608243177
9,Hilo,19.73,-155.09,78.8,69,20,6.93,US,1608243164
10,Taree,-31.9,152.47,82.99,100,1,2.24,AU,1608242947
11,Buala,-8.14,159.59,84.36,74,87,4.79,SB,1608243177
12,Cherskiy,68.75,161.3,-22.68,87,66,3.49,RU,1608243177
13,Yellowknife,62.46,-114.35,-31.0,66,90,8.05,CA,1608243003
14,Diu,20.71,70.98,66.34,49,18,12.5,IN,1608243178
15,Port Alfred,-33.59,26.89,68.0,93,72,1.01,ZA,1608243178
16,Castro Urdiales,43.38,-3.22,53.01,70,0,5.82,ES,1608243180
17,Busselton,-33.65,115.33,55.99,84,6,3.0,AU,1608243055
18,Lüderitz,-26.65,15.16,66.2,72,0,17.22,NA,1608243181
19,Si Sa Ket,14.83,104.33,68.0,76,94,5.91,TH,1608243181
20,Souillac,-20.52,57.52,77.0,88,75,14.99,MU,1608243181
21,Burley,42.54,-113.79,35.6,80,90,8.05,US,1608243181
22,Albany,42.6,-73.97,21.0,78,95,5.06,US,1608243037
23,Upernavik,72.79,-56.15,10.24,82,69,3.53,GL,1608243181
24,Aklavik,68.22,-135.01,-34.6,65,20,3.36,CA,1608243181
25,Shellbrook,53.22,-106.4,17.6,78,90,13.87,CA,1608243182
26,Rikitea,-23.12,-134.97,77.56,74,91,17.36,PF,1608243182
27,Elliot,-31.33,27.85,58.84,94,83,2.89,ZA,1608243182
28,Tasiilaq,65.61,-37.64,17.6,67,23,2.24,GL,1608243039
29,Ranong,9.97,98.63,75.7,85,99,4.12,TH,1608243184
30,Santiago del Estero,-27.8,-64.26,93.0,39,54,10.0,AR,1608243091
31,Mataura,-46.19,168.86,66.0,77,100,1.01,NZ,1608243184
32,Birao,10.28,22.79,68.0,25,80,6.33,CF,1608243184
33,Butaritari,3.07,172.79,81.48,80,95,13.18,KI,1608243184
34,New Norfolk,-42.78,147.06,59.0,73,88,4.0,AU,1608243184
35,Sitka,57.05,-135.33,41.0,80,90,18.34,US,1608243184
36,Marabu,4.41,114.01,75.2,100,40,5.59,MY,1608243184
37,Sisimiut,66.94,-53.67,18.12,93,100,4.79,GL,1608243185
38,Antofagasta,-23.65,-70.4,68.0,72,75,19.46,CL,1608242898
39,Chui,-33.7,-53.46,72.37,79,1,11.74,UY,1608243185
40,Huilong,31.81,121.66,44.01,79,100,6.46,CN,1608243185
41,Broome,42.25,-75.83,23.0,79,90,9.17,US,1608243165
42,Hithadhoo,-0.6,73.08,81.43,78,10,14.2,MV,1608243187
43,Castro,-24.79,-50.01,67.17,94,33,3.58,BR,1608243187
44,Camaná,-16.62,-72.71,70.88,68,63,6.06,PE,1608242926
45,Atuona,-9.8,-139.03,78.84,72,7,15.55,PF,1608243176
46,Cap Malheureux,-19.98,57.61,75.99,86,22,8.01,MU,1608243187
47,Kruisfontein,-34.0,24.73,66.99,82,88,1.99,ZA,1608243187
48,Nanortalik,60.14,-45.24,31.75,92,91,3.6,GL,1608243187
49,Hobart,-42.88,147.33,59.0,87,75,8.05,AU,1608242977
50,Thompson,55.74,-97.86,-7.6,76,90,5.82,CA,1608243012
51,Vaini,-21.2,-175.2,77.0,78,75,11.41,TO,1608243188
52,Pisco,-13.7,-76.22,73.4,69,0,24.16,PE,1608243188
53,Lebu,-37.62,-73.65,57.52,75,100,13.42,CL,1608243188
54,Padang,-0.95,100.35,76.19,78,100,3.74,ID,1608243188
55,Ushuaia,-54.8,-68.3,42.8,75,40,39.15,AR,1608242958
56,Kaitangata,-46.28,169.85,62.01,71,99,4.0,NZ,1608243189
57,Husavik,66.04,-17.34,33.8,92,90,14.99,IS,1608243189
58,Hermanus,-34.42,19.23,57.0,83,11,12.26,ZA,1608243189
59,Borjomi,41.85,43.41,33.17,91,90,2.57,GE,1608243189
60,Flinders,-34.58,150.86,87.01,68,19,7.0,AU,1608243189
61,Auki,-8.77,160.7,85.28,69,27,4.05,SB,1608243189
62,Port Angeles,48.12,-123.43,50.0,81,40,20.8,US,1608243189
63,College,64.86,-147.8,-11.2,51,20,9.17,US,1608243189
64,Bambous Virieux,-20.34,57.76,77.0,88,75,14.99,MU,1608243189
65,Bengkulu,-3.8,102.27,74.98,86,100,5.46,ID,1608243189
66,Hong Kong,22.29,114.16,59.0,76,66,9.71,HK,1608243081
67,Bowen,-20.02,148.23,80.6,83,57,4.7,AU,1608243189
68,Dawson Creek,55.77,-120.24,-5.8,63,90,10.29,CA,1608242955
69,São Félix do Xingu,-6.64,-51.99,81.05,67,20,2.28,BR,1608243189
70,Pangkalanbuun,-2.68,111.62,74.1,95,100,2.75,ID,1608243189
71,Jamestown,42.1,-79.24,28.99,79,90,5.82,US,1608242842
72,Shimoda,34.67,138.95,35.01,69,0,1.99,JP,1608243189
73,Porto-Novo,6.5,2.6,82.4,88,40,12.75,BJ,1608242966
74,Puerto Ayora,-0.74,-90.35,77.0,73,0,18.34,EC,1608243189
75,Nome,64.5,-165.41,0.0,59,1,16.11,US,1608243190
76,East London,-33.02,27.91,70.3,79,100,5.7,ZA,1608243191
77,Kutum,14.2,24.67,53.08,41,29,8.88,SD,1608243191
78,Gurupá,-1.41,-51.64,82.47,67,27,5.77,BR,1608243191
79,Río Gallegos,-51.62,-69.22,59.0,22,75,27.51,AR,1608243191
80,Boshnyakovo,49.63,142.17,7.23,95,99,8.72,RU,1608243192
81,Phan Thiet,10.93,108.1,73.15,82,95,3.83,VN,1608243192
82,Provideniya,64.38,-173.3,14.0,85,90,26.84,RU,1608243192
83,Barrow,71.29,-156.79,-9.4,76,1,17.22,US,1608243023
84,Colwyn Bay,53.29,-3.73,52.0,94,100,8.99,GB,1608243194
85,Lompoc,34.64,-120.46,59.0,62,40,18.34,US,1608243195
86,San Fernando del Valle de Catamarca,-28.47,-65.79,72.0,65,3,20.07,AR,1608243091
87,Bathsheba,13.22,-59.52,82.4,69,40,17.22,BB,1608243195
88,Norman Wells,65.28,-126.83,-47.2,63,20,2.39,CA,1608243195
89,Jalu,29.03,21.55,56.48,72,88,5.46,LY,1608243195
90,Te Anau,-45.42,167.72,60.71,76,100,8.08,NZ,1608243195
91,Rapid Valley,44.06,-103.15,45.0,45,1,14.99,US,1608243195
92,São Filipe,14.9,-24.5,73.09,75,100,12.91,CV,1608243195
93,Port Elizabeth,-33.92,25.57,66.2,93,90,3.36,ZA,1608243149
94,George Town,5.41,100.34,75.2,94,40,3.36,MY,1608243065
95,Hlatikulu,-26.97,31.32,60.31,100,100,0.43,SZ,1608243195
96,Cidreira,-30.18,-50.21,72.5,83,23,17.43,BR,1608243195
97,Port Blair,11.67,92.75,80.02,81,100,9.91,IN,1608243195
98,Vila,42.03,-8.16,48.0,92,84,1.01,PT,1608243195
99,Tiksi,71.69,128.87,-14.98,89,100,3.89,RU,1608243197
100,Hays,30.05,-98.03,62.01,41,0,5.01,US,1608243197
101,Senador José Porfírio,-2.59,-51.95,78.28,86,49,7.54,BR,1608243197
102,Lokosovo,61.13,74.82,14.43,96,100,10.22,RU,1608243197
103,Half Moon Bay,37.46,-122.43,57.2,76,1,21.92,US,1608243197
104,Lang Suan,9.95,99.08,75.7,86,100,2.95,TH,1608243197
105,Shīeli,44.17,66.75,20.41,88,56,1.9,KZ,1608243197
106,Terråk,65.09,12.37,37.4,94,100,20.8,NO,1608243197
107,Hamilton,39.18,-84.53,33.01,96,90,9.17,US,1608243197
108,Coyhaique,-45.58,-72.07,60.8,55,75,10.29,CL,1608243197
109,Vallenar,-28.57,-70.76,79.48,34,0,7.18,CL,1608243197
110,Arraial do Cabo,-22.97,-42.03,78.8,74,75,11.41,BR,1608243197
111,Sabang,5.89,95.32,80.73,79,100,12.88,ID,1608243198
112,Pevek,69.7,170.31,7.88,90,0,9.22,RU,1608243198
113,Bredasdorp,-34.53,20.04,53.6,71,0,4.7,ZA,1608243199
114,Nouakchott,18.09,-15.98,73.4,31,100,12.75,MR,1608243195
115,Dunedin,-45.87,170.5,59.0,78,100,24.0,NZ,1608243199
116,Storm Lake,42.64,-95.21,30.2,100,90,8.05,US,1608243200
117,Ahja,58.21,27.07,39.2,93,100,9.17,EE,1608243200
118,Cape Town,-33.93,18.42,68.0,56,0,25.28,ZA,1608242916
119,Faya,18.39,42.45,55.4,87,20,4.7,SA,1608243200
120,Davila,18.47,120.58,80.6,65,75,5.82,PH,1608243200
121,Ancud,-41.87,-73.82,64.4,63,0,10.29,CL,1608243200
122,Pitimbu,-7.47,-34.81,80.6,78,20,11.41,BR,1608243200
123,Nemuro,43.32,145.57,24.98,86,7,18.25,JP,1608243200
124,Saint Paul Harbor,57.79,-152.41,35.6,95,90,13.87,US,1608242947
125,Salalah,17.02,54.09,75.2,73,40,5.82,OM,1608242965
126,Geraldton,-28.77,114.6,62.6,67,0,9.17,AU,1608243207
127,Saint George,37.1,-113.58,55.0,27,75,3.36,US,1608243208
128,Tuatapere,-46.13,167.68,66.0,77,99,1.01,NZ,1608243224
129,Fairbanks,64.84,-147.72,-11.2,42,20,9.17,US,1608243224
130,Paita,-5.09,-81.11,71.82,76,42,15.57,PE,1608243224
131,Vao,-22.67,167.48,75.36,77,69,19.89,NC,1608243224
132,Nova Olinda do Norte,-3.89,-59.09,79.93,84,100,2.51,BR,1608243224
133,Morón,-34.65,-58.62,87.01,40,17,5.99,AR,1608243224
134,Saskylakh,71.92,114.08,-33.47,83,66,3.44,RU,1608243224
135,Estrela,-28.06,-50.94,65.53,94,10,5.08,BR,1608243132
136,Tenkodogo,11.78,-0.37,78.78,17,41,9.75,BF,1608243224
137,Clyde River,70.47,-68.59,-9.4,69,1,5.82,CA,1608243224
138,Kapaa,22.08,-159.32,82.4,65,1,16.11,US,1608243224
139,Kavieng,-2.57,150.8,84.87,71,93,8.37,PG,1608243225
140,Vozrozhdeniye,44.55,38.21,34.0,78,85,3.42,RU,1608243227
141,Saldanha,-33.01,17.94,64.4,63,0,9.17,ZA,1608243227
142,Yei,4.09,30.68,72.09,31,70,0.56,SS,1608243227
143,Måløy,61.94,5.11,48.2,70,59,19.46,NO,1608243227
144,Mondlo,-27.98,30.72,62.69,94,100,1.95,ZA,1608243227
145,Faanui,-16.48,-151.75,79.88,78,38,14.74,PF,1608243227
146,Bandarbeyla,9.49,50.81,76.48,85,100,20.83,SO,1608243228
147,Tarboro,35.9,-77.54,42.8,86,40,3.36,US,1608243228
148,Bhuj,23.27,69.67,60.19,44,0,8.43,IN,1608243228
149,Krasnoarmiys'k,48.28,37.18,30.15,95,99,3.91,UA,1608243228
150,Bluff,-46.6,168.33,66.0,77,100,1.01,NZ,1608243228
151,Narsaq,60.92,-46.05,33.8,55,96,0.83,GL,1608243228
152,Kudahuvadhoo,2.67,72.89,81.97,70,11,7.78,MV,1608243228
153,Westport,41.14,-73.36,30.0,49,96,11.18,US,1608243228
154,Bilma,18.69,12.92,64.8,27,1,6.38,NE,1608243228
155,Nurota,40.56,65.69,21.2,73,0,9.17,UZ,1608243228
156,Airai,-8.93,125.41,62.37,100,57,1.97,TL,1608243228
157,Carnarvon,-24.87,113.63,71.6,88,0,18.34,AU,1608243228
158,Billings Metropolitan Area,45.78,-108.5,39.2,48,75,11.41,US,1608243228
159,Port Macquarie,-31.43,152.92,82.99,78,15,1.99,AU,1608243229
160,São José dos Pinhais,-25.53,-49.21,70.0,94,75,6.93,BR,1608243229
161,Corning,42.14,-77.05,26.6,68,90,5.82,US,1608243142
162,Singureni,44.23,25.94,41.0,91,100,2.64,RO,1608243232
163,Funadhoo,6.15,73.27,80.62,71,22,0.98,MV,1608243232
164,Bethel,41.37,-73.41,26.6,68,1,6.93,US,1608242938
165,Kirakira,-10.45,161.92,85.48,67,33,1.72,SB,1608243232
166,Myitkyina,25.38,97.4,57.4,79,3,2.53,MM,1608243233
167,Fortuna,40.6,-124.16,52.0,71,75,16.11,US,1608243234
168,Vzmorye,54.7,20.24,44.6,81,90,8.95,RU,1608243234
169,Agüimes,27.91,-15.45,64.4,63,40,16.11,ES,1608243234
170,Lashio,22.93,97.75,54.28,98,0,0.92,MM,1608243234
171,Inongo,-1.95,18.27,72.95,92,100,4.88,CD,1608243235
172,Jesús Carranza,17.43,-95.03,67.26,95,100,14.29,MX,1608243235
173,Nacala,-14.54,40.67,79.29,79,1,3.96,MZ,1608243235
174,Challapata,-18.9,-66.77,56.71,47,63,18.57,BO,1608243235
175,Beruwala,6.48,79.98,76.46,85,71,2.24,LK,1608243235
176,Tuktoyaktuk,69.45,-133.04,-13.0,75,90,13.87,CA,1608243235
177,Ribeira Grande,38.52,-28.7,64.4,88,75,19.46,PT,1608243235
178,Baruun-Urt,46.68,113.28,-12.33,83,0,8.63,MN,1608243235
179,Barentu,15.11,37.59,58.44,96,13,2.89,ER,1608243235
180,Touros,-5.2,-35.46,80.6,78,40,16.11,BR,1608243152
181,Iquitos,-3.75,-73.25,86.0,66,75,6.93,PE,1608243238
182,Mar del Plata,-38.0,-57.56,89.6,29,0,14.99,AR,1608243238
183,Barstow,34.9,-117.02,64.4,34,20,33.33,US,1608243238
184,Longyearbyen,78.22,15.64,12.2,66,75,23.04,SJ,1608243238
185,Derbent,42.07,48.29,42.69,81,95,8.25,RU,1608243238
186,Kolondiéba,11.09,-6.89,79.43,32,81,2.53,ML,1608243238
187,Cabedelo,-6.98,-34.83,80.6,78,20,11.41,BR,1608243238
188,Dryden,49.78,-92.75,24.8,79,90,5.82,CA,1608243238
189,Aykhal,66.0,111.5,-29.2,66,0,2.24,RU,1608243238
190,Zyryanskoye,56.83,86.63,15.66,94,100,15.1,RU,1608243238
191,Riyadh,24.69,46.72,60.8,48,0,4.7,SA,1608243238
192,Kungurtug,50.6,97.52,-0.81,86,87,1.54,RU,1608243238
193,Palmer,42.16,-72.33,23.0,67,1,18.34,US,1608243238
194,Córdoba,-31.41,-64.18,93.0,26,20,17.22,AR,1608243238
195,Celestún,20.87,-90.4,74.35,78,52,19.86,MX,1608243238
196,Hambantota,6.12,81.12,73.4,100,0,2.24,LK,1608243238
197,Klaksvík,62.23,-6.59,44.6,93,0,9.17,FO,1608243239
198,Ponta do Sol,32.67,-17.1,62.6,72,40,3.36,PT,1608243239
199,Russell,32.35,-85.2,39.2,69,90,8.05,US,1608243239
200,Saint-Joseph,-21.37,55.62,75.2,83,0,8.05,RE,1608243239
201,Amnat Charoen,15.92,104.75,65.75,78,50,17.47,TH,1608243239
202,Kuusamo,65.97,29.18,3.2,77,90,1.12,FI,1608243239
203,Dundalk,39.25,-76.52,36.0,80,40,9.17,US,1608243239
204,Kloulklubed,7.04,134.26,78.8,94,90,11.41,PW,1608243239
205,Inta,66.03,60.17,2.16,94,91,7.38,RU,1608243239
206,Hasaki,35.73,140.83,26.6,85,20,2.24,JP,1608243159
207,Edd,13.93,41.69,77.41,48,2,13.87,ER,1608243239
208,Sterling,39.01,-77.43,35.6,74,20,5.82,US,1608243128
209,Ostrovnoy,68.05,39.51,22.91,91,100,5.99,RU,1608243239
210,San Juan,-31.54,-68.54,96.93,18,3,17.4,AR,1608243092
211,Benito Juarez,19.39,-99.17,71.01,28,75,6.93,MX,1608243239
212,Griffith,41.53,-87.42,34.0,69,90,3.36,US,1608243240
213,Hofn,64.25,-15.21,40.46,83,100,16.78,IS,1608243242
214,Los Llanos de Aridane,28.66,-17.92,64.4,68,75,11.41,ES,1608243242
215,Ust-Tsilma,65.44,52.15,8.89,95,97,4.32,RU,1608243242
216,Ufimskiy,56.71,58.05,20.23,97,100,9.46,RU,1608243242
217,Kahului,20.89,-156.47,80.6,69,20,12.75,US,1608242992
218,Sjenica,43.27,20.0,35.8,83,0,1.39,RS,1608243242
219,Nuuk,64.18,-51.72,26.6,79,75,5.82,GL,1608243242
220,Beloha,-25.17,45.05,74.53,78,53,4.16,MG,1608243242
221,Soyo,-6.13,12.37,76.37,85,5,6.49,AO,1608243242
222,Garden City,42.33,-83.33,30.99,86,90,4.7,US,1608243243
223,Qaqortoq,60.72,-46.03,33.8,55,88,1.63,GL,1608243086
224,Soroti,1.71,33.61,69.94,46,94,3.4,UG,1608243244
225,Guerrero Negro,27.98,-114.06,68.63,26,56,10.45,MX,1608243244
226,Cuenca,-2.88,-78.98,62.6,63,90,9.17,EC,1608243108
227,Zyryanka,65.75,150.85,-16.26,89,100,2.62,RU,1608243244
228,Ishigaki,24.34,124.16,69.8,88,75,6.93,JP,1608243244
229,Havre-St-Pierre,50.23,-63.6,19.4,73,90,5.82,CA,1608243244
230,Tuy Hoa,13.08,109.3,74.41,90,96,14.23,VN,1608243244
231,Moranbah,-22.0,148.05,81.95,68,8,0.83,AU,1608243185
232,Yenagoa,4.92,6.26,76.37,92,100,5.57,NG,1608243244
233,Codrington,-38.27,141.97,53.15,72,100,11.99,AU,1608243244
234,Atasū,48.68,71.64,5.2,87,88,7.4,KZ,1608243244
235,Sioux Lookout,50.1,-91.92,24.8,79,90,6.93,CA,1608243244
236,Marystown,47.17,-55.15,29.41,93,93,4.99,CA,1608243244
237,Nantucket,41.28,-70.1,39.2,86,90,31.09,US,1608243012
238,Pierre,44.37,-100.35,39.2,60,1,11.41,US,1608243244
239,Dingle,11.0,122.67,74.98,91,100,9.48,PH,1608243043
240,Warangal,18.0,79.58,66.61,61,0,3.27,IN,1608243169
241,Sabha,27.04,14.43,54.79,41,100,13.29,LY,1608243245
242,Tautira,-17.73,-149.15,87.8,62,20,14.99,PF,1608243246
243,Port Lincoln,-34.73,135.87,58.82,60,100,8.32,AU,1608243246
244,Oddur,4.12,43.89,75.24,49,31,9.42,SO,1608243246
245,São João da Barra,-21.64,-41.05,78.8,74,0,25.28,BR,1608243246
246,Khatanga,71.97,102.5,-25.02,81,0,10.49,RU,1608243246
247,Leningradskiy,69.38,178.42,12.58,94,100,19.57,RU,1608243246
248,Mainburg,48.65,11.78,35.01,100,53,3.36,DE,1608243246
249,Uberlândia,-18.92,-48.28,69.91,72,97,7.81,BR,1608243146
250,Rovaniemi,66.5,25.72,3.2,91,0,8.05,FI,1608243246
251,Astoria,46.19,-123.83,48.2,87,90,11.41,US,1608243246
252,Vardø,70.37,31.11,19.4,67,20,17.22,NO,1608243246
253,Las Vegas,36.17,-115.14,62.01,26,1,9.17,US,1608243212
254,Mehamn,71.04,27.85,12.2,72,0,10.29,NO,1608243246
255,Lavrentiya,65.58,-171.0,6.8,93,100,21.92,RU,1608243246
256,Ilulissat,69.22,-51.1,17.6,72,67,6.93,GL,1608243246
257,Machhlīshahr,25.68,82.42,53.6,81,0,4.7,IN,1608243246
258,La Ronge,55.1,-105.28,5.0,84,100,10.29,CA,1608243246
259,Dudinka,69.41,86.18,-0.4,84,90,24.61,RU,1608243247
260,Moose Factory,51.26,-80.61,23.0,79,1,13.87,CA,1608243247
261,Iqaluit,63.75,-68.51,-0.4,70,90,11.41,CA,1608243248
262,Isangel,-19.55,169.27,80.6,74,75,13.33,VU,1608243248
263,Aktau,43.65,51.2,33.8,86,90,4.47,KZ,1608243248
264,Iralaya,15.0,-83.23,80.06,80,0,8.16,HN,1608243248
265,Puerto Escondido,15.85,-97.07,84.2,74,20,3.36,MX,1608243113
266,Marawi,8.0,124.29,73.0,95,100,4.0,PH,1608243249
267,Tadine,-21.55,167.88,78.6,72,11,16.4,NC,1608243249
268,Zima,53.92,102.04,3.33,89,100,5.03,RU,1608243249
269,Constitución,-35.33,-72.42,60.48,70,45,10.29,CL,1608243042
270,Poso,-1.4,120.75,80.01,78,100,2.71,ID,1608243249
271,Whitehorse,60.72,-135.05,-4.0,76,90,3.36,CA,1608243249
272,Esperance,-33.87,121.9,53.6,81,15,6.93,AU,1608243249
273,Mount Gambier,-37.83,140.77,53.6,76,90,5.82,AU,1608243250
274,Rāmānuj Ganj,23.8,83.7,49.3,62,0,3.74,IN,1608243250
275,San Miguel de Cozumel,20.51,-86.95,77.0,88,75,4.7,MX,1608243250
276,Dekar,-21.53,21.93,69.33,79,97,12.75,BW,1608243250
277,Saint-Philippe,-21.36,55.77,75.2,83,0,8.05,RE,1608243250
278,Umm Hājar,13.3,19.7,70.12,21,25,10.22,TD,1608243250
279,Leh,34.17,77.58,-0.62,58,20,2.57,IN,1608243250
280,Hurghada,27.26,33.81,62.42,66,0,14.72,EG,1608243250
281,Abu Kamal,34.45,40.92,55.27,67,0,2.91,SY,1608243250
282,Manta,-0.95,-80.73,75.2,83,90,10.29,EC,1608243250
